61;Milli Egemenlik Demokrasi ve İnsan Hakları Bibliyografisi (1840-1990) 3;;TBMM Kültür Sanat ve Yayın Kurulu;Ankara - 1992
62;Türkiye Ekonomisi Bibliyografyası (1929-1983);Nihat FALAY;İstanbul Üniversitesi;İstanbul-1983
63;Türkiye Çalışma Yaşamı Kaynakçası;Canan KOÇ, Yıldırım KOÇ;TÜRK-İŞ;Ankara - 1997
64;Türkiye Çalışma Yaşamı Kaynakçası - (2. Basım);Canan KOÇ, Yıldırım KOÇ;TÜRK-İŞ;Ankara - 1998
65;Türkiye Maliye Bibliyografyası;Hasan Hüseyin BAYRAKLI;Afyon Kocatepe Üniversitesi;Afyon - 1998
66;Çevre Bibliyografyası;Haz: Mehmet SOLUK ve Diğ.;Başbakanlık Devlet Arşivleri G. M.;Ankara - 1995
67;Türkiye Ekonomi Bibliyografyası (1950/1965);Selim İLKİN ve Diğ.;ODTÜ İİF;Ankara - 1969
68;Türkiye - Avrupa Birliği İlişkileri Bibliyografyası;Haz. Erol ÇELİK;Başbakanlık Devlet Arşivleri G. M.;Ankara - 2001
69;Türk Hukuk Bibliyografyası 1975-1979;Ejder YILMAZ, Tacar ÇAĞLAR;Adalet Bakanlığı;Ankara - 1981
70;Avrupa Toplulukları Sosyal Politika ve İşcilerin Serbest Dolaşımı Mevzuatı Kataloğu;;Çalışma ve Sosyal Güvenlik Bakanlığı;Ankara - 1989
71;Yazarlara Göre TÜRK-İŞ Bibliyografisi;Ferit Hakkı SAYMAN;KAMU-İŞ;Ankara - 1996
72;Yazarlara Göre TÜRK-İŞ Bibliyografisi;M. Kemal OĞUZMAN ve Diğ.;KAMU-İŞ;Ankara - 1996
73;Kamu Yönetimi ile İlgili Türkçe Basılı Eserler Kataloğu;;Başbakanlık;Ankara - 1995
74;Tütün ve Sağlık Bibliyografisi 1968-2001;"Haz: Kemal AGUN, Celal KARLIKAYA, Esin 
KARLIKAYA";Türk Tabipleri Birliği;Ankara - 2004
75;Eskişehir Bibliyografyası;Sevim SELAMET ve Diğ.;Anadolu Üniversitesi;Eskişehir - 2009
76;Belgelerle Arşivcilik Tarihimiz (Osmanlı Dönemi) Belgelerin Fotokopileri -II-;Necati AKTAŞ ve Diğ.;Başbakanlık Devlet Arşivleri G. M.;Ankara - 2000
77;Bilgi ve Verilere Erişim;;Türkiye İstatistik Kurumu;Ankara-2011
78;Türkçe Arama Motorlarında Performans Değerlendirme;Yaşar TONTA, Yıltan Bitirim, Hayri Sever;Total Bileşim;Ankara-2002
79;"Çağdaş Bilgi-Belge Merkezlerinde Yönetim ve Organizasyon: Literatüre Yönelik 
Karşılaştırmalı Bir Analiz";Doç Dr. Mesut KURULGAN;Türk Kütüphaneciler Derneği;Ankara - 2015
80;Bulgaristan'a Satılan Evrak ve Cumhuriyet Dönemi Arşiv Çalışmaları;Haz: Mehmet Torunlar, Erol Çelik;Başbakanlık Devlet Arşivleri Gen. Müd.;Ankara-1993
81;"Ayıklama ve İmha Komisyonlarına Ait Çalışma Rehberi ve Devlet Arşivine Arşiv 
Malzemesinin Devir İşlemleri";Haz: Selvet Saraç, Mehmet Torunlar;Başbakanlık Devlet Arşivleri Gen. Müd.;Ankara-1996
82;Nadir ve Yazma Eser Dermelerinin Dijitalleştirilmesinin Planlanması için Kılavuzlar;Çev: Dr. Nevzat ÖZEL;Ulusl. Kütüphane Dern. ve Kur. Fed.;Ankara - 2015
83;Arşiv Malzemesinin Korunması ve Restorasyonu;Yash Pal KATHPALİA, Ç: Nihal SOMER;Başbakanlık Devlet Arşivleri G. M.;Ankara - 1990
84;"Koruma ve Konservasyon Servisinin Planlanması, Teçhizatlandırılması ve Personel 
İstihdamı - Bir Ramp Çalışması - ";Michael ROPER;Başbakanlık Devlet Arşivleri G. M.;Ankara - 1994
85;Arşivler;B. DELMAS;Başbakanlık Devlet Arşivleri G. M.;Ankara - 1991
86;"İş Dünyasına Yönelik Bilgi Merkezleri: Kütüphaneler, Dokümantasyon ve Özel Araştırma 
Merkezleri";;İstanbul Ticaret Odası;İstanbul - 2008
87;Anadolu Kütüphaneleri;Kültür ve Turizm Bakanlığı;Kültür Bakanlığı ;Ankara 2013
88;İTO Bilgi Merkezi ve Uluslararası Ticari Sınıflandırma Sistemi;Nilgün ATAY;İstanbul Ticaret Odası;İstanbul - 2010
89;Büyük Larousse Sözlük ve Ansiklopedisi (24 Cilt);Gen. Yay. Yön. Adnan BENK ve Diğ.;Milliyet Yayınları;İstanbul - 1992
90;Meydan Larousse Büyük Lugat ve Ansiklopedi - 12 Cilt;;Meydan Yayınevi;İstanbul - 1986
91;Meydan Larousse Büyük Lugat ve Ansiklopedi A-Z EK - (2 Cilt);;Meydan Yayınevi;İstanbul - 1987
92;Türkiye'de Süreli Yayınlar 1998;;Başbakanlık;Ankara - 1998
93;Ulusal Kuruluşlar Rehberi;Haz: Nilgün GÜNGÖR;İstanbul Ticaret Odası;İstanbul - 1999
94;"Büyük Değişim Çağında Üniversite Müzeleri - 4. Uluslararası Üniversite Müzeleri Birliği 
Platformu Konferans Kitabı";Fethiye ERBAY, Mutlu ERBAY;Anadolu Üniversitesi;Eskişehir - 2018
95;Ankara Resim ve Heykel Müzesi;Kültür ve Turizm Bakanlığı;Kültür Bakanlığı ;Ankara 2012
96;Sihirli Aynanın Sırları;Ed: Erkan YÜKSEL;Anadolu Üniversitesi;Eskişehir - 2009
97;Gazetecilik Mesleği: Gazetecilerin Çalışma koşulları Üzerine Bir inceleme;G. BOHERE, Ed: Rüçhan Işık, Ç: Nurhan Süral;Uluslararası Çalışma Örgütü;Ankara - 1986
98;"Türkiye'de Gazetecilerin Kişisel Özellikleri İle Sosyal ve Mesleki Koşulları Bakımından 
Gazetecilik Mesleğine Yönelik Tutumlar";Seçil BANAR ve Diğerleri;Anadolu Üniversitesi;Eskişehir - 2010
99;Liberal Basın Anlayışı: Objektif Habercilik İdeali, Haber Değerliliği ve Gazetecilik Etiği;Ömer ÖZER;Anadolu Üniversitesi;Eskişehir - 2008
100;Eleştirel Haber Çözümlemeleri;Ömer ÖZER;Anadolu Üniversitesi;Eskişehir - 2009
101;"Haberin Görsel Tuzakları - Haber Medyası Üzerinde Göz Takibine Bağlı Okuma 
Davranışı Araştırması";Sibel ONURSOY-Deniz KILIÇ-Haluk BİRSEN;Anadolu Üniversitesi;Eskişehir - 2011
102;Hasan Ali'nin Milli Mecmuadaki Yazıları ve Şiirleri;Hasan KOLCU-Gonca ARKON;Kocaeli Üniversitesi;Kocaeli - 2006
103;Medya Merceğinde Almanya ve Türkiye - 20. Alman - Türk Gazeteciler Semineri;;Konrad-Adenauer-Stiftung;Ankara - 2006
104;6. Ulusal Yayın Kongresi;Kültür ve Turizm Bakanlığı;Ulusal Yayın;May.18
105;Basın Yayın ve Enformasyon Genel Müdürlüğü İdare Faaliyet Raporu 2010;;Strateji Geliştirme  Daire Başkanlığı;Ankara - 2011
106;"Basın Yayın ve Enformasyon Genel Müdürlüğü Strateji Geliştirme  Daire Başkanlığı 
2010 Yılı Birim Faliyet Raporu";;Strateji Geliştirme  Daire Başkanlığı;Ankara - 2011
107;Türkiye'de Yayın Hayatı;;İstanbul Ticaret Odası;İstanbul - 2010
108;İzmir'de Kitapçılık 1839-1928 - (Gen. 2. Baskı);Erkan SERÇE;İzmir Büyükşehir Belediyesi;İzmir - 2002
109;100 Temel Eser;Hikmet ALTINKAYNAK;Milliyet Doğan Gazetecilik;İstanbul - 2004
110;Yer Altında Sesler Var;Doğan KATIRCIOĞLU;Ozan Yayıncılık;İstanbul - 1993
;FELSEFE VE PSİKOLOJİ KONULARI;100-200 ARASI;;
111;7. Uluslararası (Felsefe) Eskişehir Karikatür Festivali;;Anadolu Üniversitesi;Eskişehir - 2012
112;Yaban Düşünce;Claude LEVİ-STRAUSS, Çev: Tahsin Yüce;Yapı Kredi Yayınları;İstanbul - 1994
113;Spinoza Günleri 2 - Yeni Dünyadan Eski Dünyaya;Haz: Reyda ERGÜN, Cemal Bali AKAL;İstanbul Bilgi Üniversitesi;İstanbul - 2011
114;Tıp Fakülteleri İçin Davranış Bilimleri Ders Kitabı - Gen. 2. Baskı;Orhan DOĞAN;Cumhuriyet Üniversitesi;Sivas - 1999
115;Sağlık Bilimleri Alanında Davranış Bilimleri ;Orhan DOĞAN;Cumhuriyet Üniversitesi;Sivas - 1999
116;The Power Of Habıt - Why We Do What We Do in Life and Business;Charles DUHIGG;Random House;Newyork - 2012
117;5 Sevgi Dili - 7. Basım;Gary Chapman;Sistem Yayıncılık;İstanbul - 1999
118;Empati - Kuramdan Uygulamaya;Ed. Aysın TURPOĞLU ÇELİK;İstanbul Kültür Üniversitesi;İstanbul-2014
119;ŞOK - Gelecek Korkusu;Alvin TOFFLER, Çev: Selami Sargut;Koridor Yayıncılık;İstanbul-2000
120;Beyninizi Çalıştırın - Başarının Sırrı Beyninizde Saklı;Stefan MUMAW - Wendy Lee OLDFİELD;Yakamoz Kitap;İstanbul - 2013
121;Etkili Öğrenme - Her Şeyin Başı Kendiniz!;Mehmet Güleryüz;Olympia Yayınları;İstanbul - 2016
122;Telkin ve Hipnozla Öğrenme Teknikleri - 11. Basım;Adil MAVİŞ;Hayat Yayınları;İstanbul-2004
123;Yaratıcılık;Halide S. YAVUZ;Boğaziçi Üniversitesi;İstanbul-1989
124;Yenilikçiliğin Simyası;Alan BARKER, Ç: Ahmet Kardam;MESS;İstanbul-2001
125;Ne Parlak Fikir;Yekta ÖZÖZER;Sistem Yayıncılık;Ankara
126;Aklınızı Yönetin - Zaman, Akıl ve Bakış Açısı Öyküleri;Murat Ertan;Armada Kitap;Ankara - 2016
127;Beyin - Senin Hikayen (6. Baskı);David Eagleman, Çev. Zeynep Arık Tozar;Domingo Yayıncılık;İstanbul - 2016
128;Geçmişten Günümüze Her Yönüyle Zihin Kntrolü;Serdar AKSU;Armada Kitap;Ankara - 2016
129;Sherlock Gibi Düşünmek - Bir Dedektif Gibi Zekice Düşünmeyi Kim İstemez ki?;Daniel Smith, Çev. Cumhur Mısırlıoğlu;Martı Yayınclık;İstanbul - 2016
130;Thinking, Fast and Slow - (:2);Daniel KAHNEMAN;Farrar, Straus and Giroux;Newyork - 2011
131;Doğru Düşünme ve Başarma Sanatı - 6. Baskı;Vehbi Vakkasoğlu;Nesil Yayınları;İstanbul - 2002
132;Sezgi - Mantığın Ötesini Bilmek - Yeni Bir Yaşam Biçimini Kavramak;OSHO, Çev: Suzan Mıhladız;Ganj Kitap, OVVO Basın Yayın Dağ.;Newyork - 2005
133;Anlaşma: Anlatma ve Anlama - İletişim Üzerine Bir Felsefe Araştırması;Arda DENKEL;Boğaziçi Üniversitesi;İstanbul - 1981
134;Etkili İletişim - Yönetim Silahlarının En Önemlisi;Tarık Işıksaçan;Olympia Yayınları;İstanbul - 2016
135;Etkili İletişimin Önündeki 8 Engel;Kevin Hogan, Ron Stubbs;Yakamoz Kitap;İstanbul - 2012
136;İnsan İlişkileri - İletişim - (3. Basım);Nilüfer Voltan ACAR;Nobel Yayın Dağıtım;Ankara - 2012
137;Kişilerarası İlişkiler ve Etkili İletişim - 4. Baskı;Ed. Alim KAYA;Pegem Akademi;Ankara - 2012
138;Yeniden Terapotik İletişim - Kişiler Arası İlişkiler - (8. Baskı);Nilüfer Voltan ACAR;Nobel Yayın Dağıtım;Ankara - 2012
139;Kişilerarası İletişimde Dinleme Becerisi - Gel. 2. Basım;Zeynep CİHANGİR - ÇANKAYA;Nobel Yayın Dağıtım;Ankara - 2011
140;Günde Bir Doz Motivasyon;Ralph S. Marston,Jr., Çev: Işıl Aydın;Koton Kitap Yayıncılık;İstanbul - 2013
141;Ruhsal Zeka (SQ) - Başarının Gizemli Boyutu;Muhammed BOZDAĞ;Nesil Yayınları;İstanbul - 2005
142;"Türklerden Deha Çıkmaz (!) - ""Türküz Türkü Çığırırız""";Suat AŞCI;Yakamoz Kitap;İstanbul - 2017
143;"Evrenle Uyumlaşma Sürecinde Varolmak, Gelişmek, Uzlaşmak - Yarına Kim Kalacak? - 
(12. Baskı)";Üstün DÖKMEN;Sistem Yayıncılık;İstanbul - 2004
144;Kaygıdan Mutluluğa Kişilik - 8. Baskı;Özcan KÖKNEL;Altın Kitaplar Yayınevi;İstanbul - 1985
145;Sosyal İlişkilerde Benlik - Kendini Ayarlamanın Psikolojisi;Hasan BACANLI;M.E.B.;İstanbul - 1997
146;Kendinizi Yönetmek;Çev: Ahmet Kardam;MESS, Harvard Business Review;İstanbul - 2006
147;Unvansız Liderlik - Nelikli İnsan Olmanın Ölçütleri;Orhan ERDEM;Yakamoz Kitap;İstanbul - 2012
148;Uzun Saplı Gelincik;Judi James, Mike Edden, Ç: Ayşe Bilge Dicleli;MESS;İstanbul - 2001
149;Yürek, Beyin ve El;Mick COPE, Ç: Zülfü Dicleli;MESS;İstanbul - 2003
150;Gençle İletişim;İbrahim ÜNAL;Nesil Yayınları;İstanbul - 2007
151;Araştırma ve Örneklerle Stres ile Başa Çıkma Yolları;;Türkiye Enformasyon Bürosu;Ankara - 2015
152;Hedef Belirleme, Stresle Baş Etme - 24 Altın mı?, 24 Saat mi? ;Fatih Ünlü;Olympia Yayınları;İstanbul - 2016
153;Stres - Empati - Özgüven: SQ - Ruhsal Zeka, EQ - Duygusal Zeka - IQ - Pratik Zeka;Can Hikmet DEĞİRMENCİ;Neden Kitap Yayıncılık;İstanbul - 2013
154;Strese Güle Güle;Haluk ÖZTEKİN;Kitap & Cafe Serüven ;Ankara - 2015
155;Stresle Başa Çıkma  - 2. Baskı;Kamile Bahar AYDIN;Türk Psiko. Dan. ve Rehb. Der. - Nobel;Ankara - 2010
156;Stresle Başa Çıkmanın Yolları;Can Hikmet DEĞİRMENCİ;Neden Kitap Yayıncılık;İstanbul - 2012
157;Stres ve Başa Çıkma Yolları;Zuhal BALTAŞ - Acar BALTAŞ;Remzi Kitabevi;İstanbul - 2008
158;33 Bilet - 2. Baskı;Bestami Çiftçi;Yasem Yayınları;İstanbul - 2009
159;Anında Analiz - Dikkat: Bu Kitap Sizi Anlatıyor;David J. LİEBERMAN, Ç: Göker Talay;Koridor Yayıncılık;İstanbul - 2013
160;Çığlığın Gücü;Dr Ala Elcircevi;Dr Ala Elcircevi Eğitim Danışmanlık;2004 Ankara
161;Ey Hayat Alacağım Var Senden ;Erdal YALÇIN;Dahi Yayıncılık;İstanbul - 2017
162;"Gücün Güçsüzlüğündedir - Öyleyse Düş Peşime Çünkü; En Güçlü Sensin!";Servet TERZİLER;İndigo Kitap;İstanbul - 2016
163;Hiçbir Şey Bilmiyorsan Haddini Bil - 2. Baskı;Mehmet Emin BALAY;Yakamoz Kitap;İstanbul - 2015
164;Kişisel Gelişim Uygulamaları;Adnan KULAKSIZOĞLU;Nobel Yayın Dağıtım;Ankara - 2003
165;Nitelikli İnsan - Kişisel Gelişim Serüveninde Başarıya Ulaştıran 26 Temel Yetkinlik - (16. Baskı);Münir ARIKAN;Hayat Yayınları;İstanbul - 2011
166;NLP El Kitabı;Harry Alder, Banu Irmak;Kariyer Yayıncılık;İstanbul - 2005
167;İçimizdeki Çocuk - Yaşamımıza Yön Veren Güçlü Varlık (9. Basım);Doğan Cüceloğlu;Remzi Kitabevi;İstanbul - 1994
168;Kişilerarası Sorun Çözme Becerileri ve Eğitimi;Selahiddin ÖĞÜLMÜŞ;Nobel Yayın Dağıtım;Ankara - 2006
169;İş Dünyasında, Politikada, İlişkilerde ve Yaşamda Güven Yaratmak;Robert C. SOLOMON, Fernando FLORES;MESS;İstanbul - 2001
170;Hangi Anne Hangi Babasınız;Aşkım KAPIŞMAK;İnkilap;İstanbul 2014
171;Küçük Mutluluklar Kitabı;Aşkım KAPIŞMAK;İnkilap;İstanbul 2014
172;Dolce Vita Bu Senin Hayatın;Aşkım KAPIŞMAK;İnkilap;İstanbul 2014
173;Beni Benimle Aldatırmısın;Aşkım KAPIŞMAK;İnkilap;İstanbul 2014
174;Kadınlar Sağdan Erkekler Soldan;Aşkım KAPIŞMAK;İnkilap;İstanbul 2014
175;Aşkımın Beden Dili;Aşkım KAPIŞMAK;İnkilap;İstanbul 2014
176;Preventing and Responding to Violence at Work;Kimberly Ann Rogers, Duncan Chappell;İLO;Geneva - 2003
177;Violence At Work;Duncan CHAPPELL - Vittorio Di MARTİNO;İLO;Geneva - 2006
178;Essentials Of Negotiation - Fifty Edition;"Roy j. LEWİCKİ, David M.SAUNDERS, 
Bruce BARRY";The Mc Graw Hill Companies;Amerika - 2011
179;L'art de la Ne'gociation - Strategie, Tactique, Motivation, Comprehension, Leadership;Raymond Saner;Chiron, Danger;Paris - 2005
180;Çalışma Hayatında Öğrenilmiş Çaresizlik;Burcu Kümbül GÜLER;Liberte Yayınları;Ankara - 2006
181;Çalışma Hayatında Stres! Eğitim Semineri (İstanbul - İzmir) - İş Stresi Yönetimi El Kitabı ;Serpil AYTAÇ;ÇASGEM ;Ankara - 2009
182;Çalışma Hayatında Tükenilmişlik Sendromu - Tükenmişlikle Mücadele Teknikleri ;Olca SÜRGEVİL;Nobel Yayın Dağıtım;Ankara - 2006
183;Çalışma Psikolojisi;Aşkın KESER;Ekin Yayınevi;Bursa - 2009
184;Çalışma Psikolojisi - 4. Baskı;Aşkın KESER;Ekin Yayınevi;Bursa -2014
185;Çalışmanın Mitolojisi - Kapitalizm Kendine Rağmen Nasıl Ayakta Kalıyor?;Peter Fleming, Çev. Ebru Kılıç;Koç Üniversitesi ;İstanbul - 2017
186;Endüstri, İş ve Örgüt Psikolojisi El Kitabı - (1. Cilt) - Personel Psikolojisi ;Ed: Neil ANDERSON ve Diğ.;Litaratür Yayıncılık;İstanbul - 2009
187;Endüstri, İş ve Örgüt Psikolojisi El Kitabı - (2. Cilt) - Örgüt Psikolojisi;Ed: Neil ANDERSON ve Diğ.;Litaratür Yayıncılık;İstanbul - 2009
188;Endüstri ve Örgüt Psikolojisi;Bülent BAYAT;Alter Yayıncılık;Ankara - 2008
189;Endüstride Çalışma Psikolojisi - Gün. ve Gel. 2. Baskı;Mehmet SİLAH;Seçkin Yayıncılık;Ankara - 2005
190;"Endüstriyel Klinik Psikoloji ve İnsan Kaynakları Yönetimi - Kuramdan Uygulamaya İş 
Yaşamında Psikoloji";Ed: Tarık SOLMUŞ;Beta Yayıncılık;İstanbul - 2007
191;"Hayat Çalışmak Değildir Çalışmak Hayat Değildir - 7 Gün 24 Saat İş ve Özel Yaşamınızda 
Dengeyi Korumak İçin Mucize Formüller";Robert K. JOHSTON, J.Walker SMITH;Neden? Kitap;İstanbul - 2008
192;İş Hayatında Melekler;Beki İkala ERİKLİ;GOA Basım Yayın;İstanbul - 2013
193;İş Stresi Kaynakları - Geleneksel ve Güncel Boyutlarıyla;Aşkın KESER;Ekin Yayınevi;Bursa - 2013
194;İş Yaşamında Stres - 3. Baskı;İnayet AYDIN;Pegem Akademi;Ankara - 2008
195;Öğretim Elemanının İş Stresi - Kuram ve Uygulama;Ali BALCI;Nobel Yayın Dağıtım;Ankara - 2000
